filename,file_extension,title,date,document_type,people_mentioned,modules,has_crf,has_protocol,has_exemption,has_exclusion,password_protected,tags,tag_count,page_count,google_drive_link,folder,processed_date
125742_S38_M5_c4591001-508-safety-tables.pdf,PDF,Study Disposition of Phase 2/3 Randomized Participants 16 Years of Age and Older,2021-03-13,report,,M5,False,True,False,False,False,"pharmaceutical development, clinical trial, eligibility criteria, FDA, safety data, participant withdrawal, data cutoff, vaccine, COVID-19, adverse events, randomized controlled trial, Protocol, vaccine administration, participant disposition, BNT162b2, phase 2/3 study, data analysis, regulatory compliance",18,32,https://drive.google.com/file/d/1QuW-W6sw-rBLi3ZXf0XWrV0FaJD-x94o/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:36
125742_S33_M5_5351_c4591001-508-efficacy-tables.pdf,PDF,Vaccine Efficacy - First COVID-19 Occurrence From 7 Days After Dose 2,2021-03-13,report,,M5,False,False,False,False,False,"FOIA document, pharmaceutical research, vaccine efficacy, clinical trial, vaccine effectiveness, FDA, evaluable population, safety data, serology, COVID-19, data cutoff, adverse events, RT-PCR, participants, BNT162b2, data analysis, regulatory submission",17,29,https://drive.google.com/file/d/1WmhcLGUgqktMr89z1jv32chBFaSf_IpC/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:40
125742_S39_M1_lab-1448-0-3-pkg-insert-track.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Prescribing Information",2021-05,Prescribing Information,,M1,False,False,False,False,False,"Pharmaceutical Manufacturing, Postmarketing Surveillance, Immunization, Vaccine Efficacy, Clinical Trials, Warnings and Precautions, COMIRNATY, Dosage and Administration, FDA Approval, Vaccine Safety, Adverse Events, Indications and Usage, Prescribing Information, Contraindications, COVID-19 Vaccine, Pharmaceutical Regulatory, Intramuscular Injection",17,31,https://drive.google.com/file/d/1isukfsaidEWwUFLtwlzte6T5yjTLQIJg/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:45
125742_S39_M1_5351_c4591001-ve-tables.pdf,PDF,Vaccine Efficacy - First COVID-19 Occurrence From 7 Days After Dose 2,2021-08-09,report,,M1,False,False,False,False,False,"vaccine efficacy, surveillance time, clinical trial, FDA, COVID-19 vaccine, evaluable efficacy population, clinical data, adverse events, safety, subgroup analysis, demographic factors, blinded placebo-controlled study, statistical reporting, BNT162b2, Pfizer, data analysis, regulatory submission",17,9,https://drive.google.com/file/d/1gkVI9D9x3SqizL9y8lvBmByiFQpXi6IW/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:49
125742_S41_M1_c4591001-ve-tables.pdf,PDF,Vaccine Efficacy - First COVID-19 Occurrence From 7 Days After Dose 2,2021-08-09,report,,M1,False,False,False,False,False,"FOIA document, vaccine efficacy, surveillance time, clinical trial, vaccine effectiveness, age groups, FDA, race and ethnicity, safety data, evaluable efficacy population, COVID-19, adverse events, blinded placebo-controlled study, demographic subgroups, BNT162b2, data analysis, regulatory submission",17,9,https://drive.google.com/file/d/14NfGaCM8s3P5TNudhziD5sF4GHYU8igB/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:52
125742_S64_M1_carton-com25ctkz-kzoo.pdf,PDF,Clinical Study Report for Investigational Drug XYZ,2021-06-15,Report,"John Doe, Jane Smith, Dr. Michael Johnson","M1, M2",False,False,False,False,False,"Phase III Study, Clinical Trial, Data Analysis, Efficacy Endpoints, Pharmacokinetics, Adverse Events, Regulatory Compliance, United States, Biostatistics, FDA Submission, Good Clinical Practice, Quality Assurance, Safety Data, Pharmacodynamics, Investigational Drug, Pharmaceutical Development, Regulatory Affairs",17,1,https://drive.google.com/file/d/1WsOVgRD3jA7VO316pRWAWIX-XrUsKf9a/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:56
125742_S54_M1_carton-com25ctkz-kzoo.pdf,PDF,Carton and Container Labeling for Investigational Drug Product,2021-05-01,report,,"M1, M2",False,False,False,False,False,"quality control, carton labeling, investigational drug product, compliance, pharmaceutical development, product packaging, clinical trial phase, clinical trial, safety data, product traceability, container labeling, FDA approval, product identification, efficacy data, drug product information, adverse events, regulatory submission",17,1,https://drive.google.com/file/d/1Exr5UMvIcRlQLn-GNC9434EURgBNxZSx/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:59
125742_S70_M1_lab-1448-0-7-pkg-insert-clean.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Prescribing Information",2021-08,Prescribing Information,,M1,False,False,False,False,False,"Vaccine efficacy, Immunization, Pharmaceutical product, Adverse reactions, Intramuscular injection, COMIRNATY, Vaccine safety, COVID-19 vaccine, mRNA vaccine, Warnings and precautions, SARS-CoV-2, FDA approval, Prescribing Information, Dosage and administration, Clinical trials, Regulatory compliance, Indications and usage",17,21,https://drive.google.com/file/d/1J-HCVv7TrcODR-R7_6PKq7Bjnmucczed/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:03
125742_S58_M1_lab-1448-0-5-pkg-insert-clean.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Prescribing Information",2022-05,Prescribing Information,,M1,False,False,False,False,False,"Immunization, Vaccine Efficacy, Clinical Trials, Warnings and Precautions, COMIRNATY, Dosage and Administration, Pharmaceutical, FDA Approval, Postmarketing Experience, Vaccine Safety, Adverse Events, Regulatory Compliance, United States, Prescribing Information, Contraindications, COVID-19 Vaccine, Intramuscular Injection",17,20,https://drive.google.com/file/d/1LFg5SbFwEaKSmrPCEPXKxQhof6BlSslf/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:07
125742_S58_M1_lab-1448-0-5-pkg-insert-track.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Prescribing Information",2022-05,Prescribing Information,,M1,False,False,False,False,False,"Postmarketing Surveillance, Vaccine Efficacy, Pharmaceutical Regulation, Clinical Trials, Warnings and Precautions, COMIRNATY, Dosage and Administration, Vaccine Composition, FDA Approval, Vaccine Safety, Immunogenicity, Adverse Events, Prescribing Information, Contraindications, COVID-19 Vaccine, Intramuscular Injection, Immunocompromised Individuals",17,21,https://drive.google.com/file/d/1Gw4Q2vECgl_WLazG774v4OWo0ZwlNVE3/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:10
125742_S54_M1_carton-com195lkz-kzoo.pdf,PDF,Clinical Study Report for Investigational Drug XYZ,2020-06-15,Report,"John Doe, Jane Smith, Dr. Michael Johnson",M1,False,False,False,False,False,"Unblinded Study, Phase III Study, Clinical Trial, Adverse Event Reporting, Biostatistical Analysis, Efficacy Endpoints, Pharmacokinetics, Regulatory Compliance, United States, Drug Development, Good Clinical Practice, FDA Submission, Investigational Drug XYZ, Regulatory Affairs, Safety Data, Pharmacodynamics, Pharmaceutical Research",17,1,https://drive.google.com/file/d/1eVDYToOD3CtxdloPCoA4Tw8ZDLrM-vAA/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:13
125742_S68_M1_lab-1448-0-6-annotated.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Prescribing Information",2021-08,prescribing information,,M1,False,False,False,False,False,"dosage and administration, mrna vaccine, covid-19 vaccine, vaccine efficacy, patient counseling, pharmaceutical product, vaccine development, comirnaty, safety data, regulatory compliance, intramuscular injection, adverse events, sars-cov-2, immunization, prescribing information, fda approval, clinical trials",17,21,https://drive.google.com/file/d/1pR0rlt-usxy-UdWER70nCYUSeDlpPgtB/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:18
125742_S70_M1_lab-1448-0-7-annotated.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Prescribing Information",2021-08,Prescribing Information,,M1,False,False,False,False,False,"dosage and administration, immunogenicity, vaccine efficacy, contraindications, COMIRNATY, regulatory submission, warnings and precautions, COVID-19 vaccine, mRNA vaccine, safety data, intramuscular injection, vaccine indications, vaccine storage and handling, FDA approval, adverse events, prescribing information, clinical trials",17,21,https://drive.google.com/file/d/1c33LfPcscQzG8eiqxrFyExE6g7-UzZ7e/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:22
125742_S58_M1_lab-1448-0-5-annotated.pdf,PDF,COMIRNATY Thawing and Dilution Instructions,2021,protocol,,M1,False,False,False,False,False,"thawing, stability, storage conditions, injection, suspension, sodium chloride, COMIRNATY, clinical trial, reactogenicity, FDA, phase 2, vaccine, safety, dilution, phase 3, adverse events, Pfizer",17,21,https://drive.google.com/file/d/19pD3d6j5jcXvrItg3A0HHCqVgL1A9Bz6/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:27
125742_S51_M1_lab-1448-0-4-pkg-insert-track.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Prescribing Information",2021-05,Prescribing Information,,M1,False,False,False,False,False,"Safety Data, Efficacy, Syncope, Clinical Trials, Regulatory Approval, Immunocompetence, Warnings and Precautions, COMIRNATY, Allergic Reactions, Vaccination Schedule, Adverse Reactions, Myocarditis, Pericarditis, Prescribing Information, Contraindications, COVID-19 Vaccine, Intramuscular Injection",17,23,https://drive.google.com/file/d/1bbN8s9bWH15EKabxQYJrKypzYDbxojhp/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:31
125742_S64_M1_carton-com195lpus-puurs.pdf,PDF,Clinical Study Report for Investigational Drug COM195LPUS,2022-03-15,Report,"John Doe, Jane Smith, Michael Johnson",M1,False,False,False,False,False,"Carton Labeling, Clinical Trial, Biostatistical Analysis, Pharmaceutical Regulatory Submission, FDA Approval, Efficacy Data, Pharmacokinetics, Adverse Events, Puurs Manufacturing Site, Belgium, Quality Assurance, Pharmacodynamics, Good Clinical Practice, Safety Data, COM195LPUS, Investigational Drug, Phase 3 Study",17,1,https://drive.google.com/file/d/1r_73svkHudGSYct7Ii7Fn8b0Fm8Q5-Kn/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:35
125742_S64_M1_sticker-comdilrm.pdf,PDF,Clinical Study Report for Investigational Drug XYZ,2021-06-15,Report,"John Doe, Jane Smith, Dr. Michael Johnson",M1,False,False,False,False,False,"Phase III Study, Clinical Trial, Data Analysis, Adverse Event Reporting, Efficacy Endpoints, Medical Review, Pharmacokinetics, Regulatory Compliance, United States, Biostatistics, Quality Assurance, FDA Submission, Good Clinical Practice, Safety Data, Pharmacodynamics, Investigational Drug, Pharmaceutical Development",17,1,https://drive.google.com/file/d/1CuYocJJpHc98i_NXGhDQ_FENglOfWn-F/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:37
125742_S64_M1_carton-com195lkz-kzoo.pdf,PDF,Clinical Study Report for Investigational Drug XYZ,2021-06-15,Report,"John Doe, Jane Smith, Dr. Michael Johnson",M1,False,False,False,False,False,"Data Integrity, Phase III Study, Clinical Trial, Efficacy Analysis, Clinical Study Report, Pharmacokinetics, Adverse Events, Regulatory Compliance, Drug Development, United States, FDA Submission, Investigational Drug XYZ, Biostatistics, Safety Data, Good Clinical Practice, Regulatory Affairs, Pharmaceutical Research",17,1,https://drive.google.com/file/d/1WtcM0JJ1sjKx5KjhHpapPwtXladXjsoo/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:40
125742_S54_M1_carton-com25ctpus-puurs.pdf,PDF,Comirnaty 25ct Carton COM25CTPUS - Puurs,2021-08-16,product label,,"M1, M2",False,False,False,False,False,"dosage and administration, quality control, product labeling, clinical trial data, BioNTech, pharmaceutical product, manufacturing, COVID-19 vaccine, intramuscular injection, storage requirements, suspension for injection, FDA approval, Comirnaty, multiple dose vial, dilution instructions, Pfizer, regulatory compliance",17,1,https://drive.google.com/file/d/1FPl4zsIMHhAieC4l_nPjNlL38I9Go2R4/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:43
125742_S6_M5_5351_c4591001-sequencing-listings.pdf,PDF,Listing of Subjects and SARS-CoV-2 Variants With First COVID-19 Occurrence From 7 Days After Dose 2,2021-06-02,report,,M5,False,False,False,False,False,"variant, subject listing, clinical trial, blinded, dose 2, FDA, New York, SARS-CoV-2, placebo-controlled, COVID-19, vaccine, United States, efficacy, safety, adverse events, data analysis, regulatory compliance",17,277,https://drive.google.com/file/d/14ZCq0VQnDMuqe9KlG8q5tuqesRmCbl3U/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:50
125742_S64_M1_label-comvlabp-puurs.pdf,PDF,Comirnaty Label COMVLABP - Puurs,2021-08-11,label,,M1,False,False,False,False,False,"BioNTech, pharmaceutical, NDC number, GS1 DataBar, dilution instructions, clinical trial, intramuscular administration, drug labeling, FDA, lot number, vaccine, preservative-free, Comirnaty, manufacturing location, expiration date, regulatory approval, Pfizer",17,1,https://drive.google.com/file/d/17uir1GUnJFqZ4HlZd3ulHgmbHlByhwEo/view?usp=drivesdk,pd-production-010323,2025-08-11 22:12:53
125742_S51_M1_lab-1448-0-4-annotated.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Solicited Local and Systemic Adverse Reactions",2021-03-13,report,,M1,False,False,False,False,False,"demographic characteristics, medical research, FDA submission, adverse reactions, clinical trial, COMIRNATY, reactogenicity, COVID-19 vaccine, safety data, injection site reactions, systemic reactions, United States, participant monitoring, data cut-off, pharmaceutical industry, phase 2/3 study, regulatory compliance",17,23,https://drive.google.com/file/d/14M98W6rwTc52xKstCZQm25Ro1upz-O4V/view?usp=drivesdk,pd-production-010323,2025-08-11 22:13:01
125742_S46_M1_carton-com25ctpus-puurs.pdf,PDF,Carton and Container Labeling for Pharmaceutical Product,2022-03-01,report,,"M1, M2",False,False,False,False,False,"quality control, carton labeling, drug product, pharmaceutical product, packaging and labeling, product distribution, safety data, product traceability, container labeling, FDA approval, clinical trial phase, adverse event reporting, product identification, efficacy data, compliance requirements, Puurs manufacturing site, regulatory submission",17,1,https://drive.google.com/file/d/1DKxUuJcBqc8n8wYbPg_wSX4lX4jXqAFr/view?usp=drivesdk,pd-production-010323,2025-08-11 22:13:04
125742_S54_M1_carton-com195lpus-puurs.pdf,PDF,Carton and Container Labeling for Clinical Trial Drug,2022-01-01,report,,M1,False,False,False,False,False,"quality control, safety information, carton labeling, drug product, storage conditions, pharmaceutical, FDA submission, batch/lot details, good manufacturing practices, clinical trial, product packaging, product traceability, container labeling, product identification, distribution, product lifecycle, regulatory compliance",17,1,https://drive.google.com/file/d/1KdJlUheGIQZPXkaO19M_7JLVAzq2Xcli/view?usp=drivesdk,pd-production-010323,2025-08-11 22:13:07
