Source_File,Study_OID,Study_Name,Study_Description,Protocol_Name,Define_MetadataVersion_OID,Define_MetadataVersion_Name,Define_Version,Standard_Name,Standard_Version,Dataset_OID,Dataset_Name,Dataset_SAS_Name,Dataset_Description,Dataset_Purpose,Dataset_Structure,Dataset_Class,Dataset_Source,Variable_OID,Variable_Name,Variable_Label,Variable_Data_Type,Variable_Length,Variable_SAS_Field_Name,Variable_Origin,Variable_Roles,Variable_Mandatory,Variable_Key_Sequence,Variable_Method_OID,Variable_WhereClause_OID,CodeList_OID,CodeList_Name,CodeList_Data_Type,CodeList_Coded_Values
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.TRT01P,TRT01P,Planned Treatment for Period 01,text,27,TRT01P,,,True,,MT.ADSL.TRT01P,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.TRT01PN,TRT01PN,Planned Treatment for Period 01 (N),integer,8,TRT01PN,,,False,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.TRT01A,TRT01A,Actual Treatment for Period 01,text,27,TRT01A,,,False,,MT.ADSL.TRT01A,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.TRT01AN,TRT01AN,Actual Treatment for Period 01 (N),integer,8,TRT01AN,,,False,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.BRTHDT,BRTHDT,Date of Birth,integer,8,BRTHDT,,,True,,MT.ADSL.BRTHDT,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.BRTHDTF,BRTHDTF,Date of Birth Imput. Flag,text,1,BRTHDTF,,,False,,MT.ADSL.BRTHDTF,,CL.DATEFL,DATEFL,text,"D: Day Imputed;
M: Month Day Imputed"
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.DTHDTC,DTHDTC,Date/Time of Death,date,,DTHDTC,,,False,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.DTHDT,DTHDT,Date of Death,integer,8,DTHDT,,,False,,MT.ADSL.DTHDT,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.DTHDTF,DTHDTF,Date of Death Imputation Flag,text,1,DTHDTF,,,False,,MT.ADSL.DTHDTF,,CL.DATEFL,DATEFL,text,"D: Day Imputed;
M: Month Day Imputed"
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.RANDDT,RANDDT,Date of Randomization,integer,8,RANDDT,,,False,,MT.ADSL.RANDDT,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.RANDNO,RANDNO,Randomization Number,text,6,RANDNO,,,False,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.RFSTDT,RFSTDT,Subject Reference Start Date,integer,8,RFSTDT,,,True,,MT.ADSL.RFSTDT,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.RFSTTM,RFSTTM,Subject Reference Start Time,integer,8,RFSTTM,,,False,,MT.ADSL.RFSTTM,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.RFENDT,RFENDT,Subject Reference End Date,integer,8,RFENDT,,,True,,MT.ADSL.RFENDT,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.RFENTM,RFENTM,Subject Reference End Time,integer,8,RFENTM,,,False,,MT.ADSL.RFENTM,,,,,
